Time,Screen Name,Tweet,Followers,RT
,@kaarayokomoko,,,
,@melofvertes,,,
,@deny_deden,,,
,@suzanne64600721,,,
,@OfficialTASMACK,,,
,@iis0303,,,
,@JonJohnieee,,,
,@SydneyOrion,,,
,@PoliticsOnPoint,,,
,@CDZ_999,,,
,@Britt_OGrady,,,
,@BetoGonzalez70,,,
,@GodsonEnwere,,,
,@LyneFomiatti,,,
,@lalechuza93,,,
,@atorres890,,,
,@SampurnaMajumde,,,
,@itsonlytime21,,,
,@newsuperantonio,,,
,@JeremyP187,,,
,@cloudmusic2233,,,
,@puppydoghannah,,,
,@Stefanie_Cruz,,,
,@JimyZ,,,
,@petejeffrey,,,
,@herebewonder,,,
,@Bemychittaphon,,,
,@_2SEyeTHCM,,,
,@asuna_haelz,,,
,@OCKatalyst,,,
,@LachelleVance,,,
,@MyGood_Health1,,,
,@minaligg,,,
,@usakiD96,,,
,@EllyssaMorgan,,,
,@elysia_bui,,,
,@bbas_ali,,,
,@UnlockEmojis,,,
,@gennapko,,,
,@Kevinology101,,,
,@Amera23,,,
,@LeadsOrigins,,,
,@Judith_Brakman,,,
,@saat3oldu,,,
,@PlacidaLuis,,,
,@Gaybotarian,,,
,@Tunchimaxmillan,,,
,@whiskeyNyts,,,
,@BookBoyGirl,,,
,@TheModernMonk,,,
,@JON_AFTERWAR,,,
,@Orient999Yiming,,,
,@G0Z1_17430202,,,
,@OB_17430213,,,
,@womensaidSL,,,
,@fishvsflow,,,
,@_park_jimin_1,,,
,@_park_jimin_1,,,
,@ANAwards,,,
,@AFrugalTheory,,,
,@Javssxx,,,
,@AFrugalTheory,,,
,@zainsf_,,,
,@burningivory,,,
,@MB__Montgomery,,,
,@JessyKat564,,,
,@grantsierra1,,,
,@gllmcravero,,,
,@FranticallyCalm,,,
,@blo0dyheart,,,
,@HiuraMashi,,,
,@nikonickjohn92,,,
,@5b38d248e8ec4d7,,,
,@deebz08,,,
,@deebz08,,,
,@tvshowlist7,,,
,@tvshowlist7,,,
,@yesequality2016,,,
,@shinyyylove,,,
,@ChaelMontgomery,,,
,@WipeHomophobia,,,
,@ValsCappuccino,,,
,@kharyp,,,
,@jenchocolate24,,,
,@bunnyfarrell,,,
,@pridelife,,,
,@magikfingers3,,,
,@oopsmykendall,,,
,@Flo098,,,
,@BeautyofDamon,,,
,@CtheIntern,,,
,@Nubilasoles,,,
,@thegaysay,,,
