Time,Screen Name,Tweet,RT,Followers
,@MyOnlyHeart2,,,
,@Edmond_Estrada,,,
,@mariamcbean,,,
,@RubenSinghK,,,
,@emilyplacido,,,
,@truckgirl65,,,
,@Leatherneck43,,,
,@Trump2Win,,,
,@lovemyyorkie14,,,
,@Patriot_in_CA,,,
,@Mike_Beacham,,,
,@baweights,,,
,@tbgstephen,,,
,@galderisi8861,,,
,@IndeCardio,,,
,@surfermom77,,,
,@yodameister,,,
,@Mike_USPatriot,,,
,@DerrickGordon09,,,
,@Elky305,,,
,@SammyCl23155188,,,
,@AdamMilstein,,,
,@AnthonyJRomano,,,
,@Network_Citizen,,,
,@MegFord7,,,
,@AppSame,,,
,@testisfidelis,,,
,@Elky305,,,
,@ProudAmericanPt,,,
,@MiceeMouse,,,
,@msbizz73,,,
,@moonraker691,,,
,@ElTwitaso,,,
,@lymynn,,,
,@TJWooster,,,
,@JohnsonFA54,,,
,@DerekWWeller,,,
,@barbya1,,,
,@jody_rossel,,,
,@Doctr__Wang,,,
,@wolfpsy,,,
,@JillDarrah,,,
,@NikHun,,,
,@lnichols8,,,
,@AmyGreggthatsme,,,
,@georgeohar,,,
,@Rose75267272,,,
,@_PleadTheSecond,,,
,@Sublyminal121,,,
,@pigiron55,,,
,@JeremyinAkron,,,
,@US_Rudy,,,
,@Luis_Eguiguren,,,
,@subhash77niul,,,
,@DebraPianalto,,,
,@kjoravecz18,,,
,@rriz,,,
,@WarriorsHart444,,,
,@laurenbpierce,,,
,@EB_Publication,,,
,@FriendlyJMC,,,
,@FritzStrobl,,,
,@BruceHagen,,,
,@Orange2Social,,,
,@wolfpsy,,,
,@Karee_news,,,
,@az_valentine,,,
,@XIXAmendment,,,
,@Mums27,,,
,@fanaticraven,,,
,@RightAsRain7,,,
,@sculptoron,,,
,@toreilly,,,
,@IsraelandStufff,,,
,@ludy730,,,
,@LockDown337,,,
,@virginia_fidler,,,
,@dsingh16,,,
,@Kathy73942403,,,
,@Hildron,,,
,@sheila14all,,,
,@porkbelly1271,,,
,@myers_rwm,,,
,@cedarsgate,,,
,@DanJohn87691917,,,
,@IrishJoeHarriso,,,
,@cautiousone1,,,
,@henson_pat,,,
,@attackteam1,,,
,@GinaMarie497,,,
,@kle81156,,,
,@MeMediawatch,,,
,@rktreadwell,,,
,@kbarrett975,,,
,@txjean2014,,,
,@pquintela_cdpe,,,
,@rickbkylex,,,
,@OrgulloPorteno,,,
,@jmjordan214,,,
,@surfermom77,,,
,@mortonie,,,
,@Further20,,,
,@87FireCane,,,
,@Further20,,,
,@slewis8353,,,
,@im4DJTrump,,,
,@AlRoccaa,,,
,@wolfpsy,,,
,@carnessa0203,,,
,@paulbenedict7,,,
,@Seirra75,,,
,@dilisgra,,,
,@Paristhepoodle,,,
,@jstines3,,,
,@TamiDurling,,,
,@dignitasnews,,,
,@Koxinga8,,,
,@Tab1791,,,
,@Stonewall_77,,,
,@baumsche,,,
,@Raymosaki,,,
,@deaconlunchbox,,,
,@TheSteve12,,,
,@Chris0u24,,,
,@laspinks,,,
,@CraigManoukian,,,
,@Travelbug1955,,,
,@ssyddnne,,,
,@TmontDk,,,
,@sassyandcowgirl,,,
,@RobDaMutantBee,,,
,@tinadavidson08,,,
,@laspinks,,,
,@pwalnuts1156,,,
,@rhUSMC,,,
,@EuniceStevens15,,,
,@tuckman_andrea,,,
,@WhosGoneGalt,,,
,@Sonoran_Sheri,,,
,@cajuncatlady,,,
,@RocketMom5300,,,
,@papjimsun,,,
,@rhUSMC,,,
,@xMisterGorex,,,
,@MichelleHewett7,,,
,@shelliecorreia,,,
,@AlRoccaa,,,
,@rickybobby90210,,,
,@BProhodski,,,
,@MARILYNLEVINso1,,,
,@ella_earle,,,
,@_Arcy__,,,
,@sunshinette,,,
,@ScottMinnesota1,,,
,@BanannieBoo,,,
,@RussiaJapan2,,,
,@ConManBO,,,
,@liondawgs,,,
,@asicotte,,,
,@splashdance36,,,
,@RHanabergh,,,
,@roythomas970,,,
,@CanadayMichael,,,
,@dianepe44651138,,,
,@rspy88,,,
,@Edmond_Estrada,,,
,@CraigManoukian,,,
,@carlyinNJ,,,
,@DarrylVestal,,,
,@AURobNY,,,
,@legallollypop4u,,,
,@srhcocoa,,,
,@pmurphey47,,,
,@tbvaughan53,,,
,@oracle_ed,,,
,@CraigManoukian,,,
,@jacoverdo,,,
,@rspy88,,,
,@hashdragg,,,
,@KitDuluCa,,,
,@Bob00Smith,,,
,@MrDewMaster,,,
,@cypherdog,,,
,@HowardRoper,,,
,@Sailing_J,,,
,@patrick_hostis,,,
