Time,Screen Name,Tweet,RT
6:01:00,@mary_marylisa14,RT @tponews: Trump telling it like it is! Trump fighting for Harlem! #TrumpTrain #TrumpLovesHarlem #MakeAmericaGreatAgain https://t.co/t8wa…,704
6:01:00,@drumquint,RT @WeNeedTrump: 87% of voters believe Trump will be nominee. #MakeAmericaGreatAgain https://t.co/Sv1uCfjODY,99
6:01:00,@Redeemed1952,@SurvivorPrevail 🔵TY for following! Pls follow my alt acct @PatriotMike1 TY! 🇺🇸👍🏻#TRUMP2016 #MakeAmericaGreatAgain,0
6:01:00,@LOPlato,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@__infidel__,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@nanauriuri,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@winwarchr,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@YanProPolitique,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@buckyfox,307 #MakeAmericaGreatAgain https://t.co/PpQ6tdgfZU,0
6:01:00,@Tim07154254,RT @tponews: Trump telling it like it is! Trump fighting for Harlem! #TrumpTrain #TrumpLovesHarlem #MakeAmericaGreatAgain https://t.co/t8wa…,704
6:01:00,@YUGE_TRUMP,RT @ReTRUMPlican_US: #MakeAmericaGreatAgain #SilentMajority #TrumpTrain #YUGE JOIN US in our Closed Group - https://t.co/A3lFL7bkBm https…,9
6:01:00,@drumquint,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",815
6:01:00,@JasonsGrandpa,"RT @DanScavino: DONALD J. TRUMP Presidential RALLY! Salt Lake City, Utah. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/XcZKN0O…",600
6:01:00,@Mary4TRUMP,"RT @loudobbsnews: MSM Media Not Reporting MoveOn, Sanders Disruptors Attacking Trump Rally https://t.co/LFyXZLvnFa via @fox13now #MakeAmeri…",183
6:01:00,@eeb1,RT @JudgeMoroz: Not since President Reagan has the @GOP been so poised to #MakeAmericaGreatAgain as it is with @realDonaldTrump 🇺🇸 https://…,25
6:01:00,@MrEdTrain,Wake up America 🇺🇸 #MakeAmericaGreatAgain #Trump2016 #TrumpRally #AlwaysTrump #AZPrimary #Utah4Trump https://t.co/Ve2aDmgKkN,1
6:01:00,@umitbali,"#IfTrumpBePresident Air-force one touches down, security detail be like, ""The ego has landed!"" #Trump2016 #MakeAmericaGreatAgain",0
6:01:00,@PolFurn,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@SkyHighMenace,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3771
6:01:00,@SuperDonald1,RT @TRUMPHIANT2016: This is insane. Chelsea exposed her mom's intent. #MakeAmericaGreatAgain Not wanting illegals isn't racist it's law! ht…,13
6:02:00,@moonbaseorbust1,RT @brothersnarmsUS: Trump will #MakeAmericaGreatAgain #AlwaysTrump https://t.co/BUQiB1EQlC https://t.co/B8woM8ELgL,10
6:02:00,@gotaduit,"RT @bobby990r_1: @HillaryClinton We can't hold lying, disingenuous politicians accountable either! #MakeAmericaGreatAgain #VoteTrump2016",13
7:00:00,@JillanaLogan,RT @BYU4Trump: @realDonaldTrump getting ready to see Trump here in Salt Lake City!!! #MakeAmericaGreatAgain https://t.co/pXhF2jBtQz,130
7:00:00,@thetimewasthen,RT @NeilTurner_: #TrumpMovement #MakeAmericaGreatAgain #TrumpTrain #VoteTrump https://t.co/yyN7iesfeY,467
7:00:00,@pastormarkburns,https://t.co/H3Dgx4FElf @realmagellan #Trump2016 #MakeAmericaGreatAgain,0
7:00:00,@Amberis4LSU,RT @keksec__org: @realDonaldTrump I can't wait to see you in this state! #MakeAmericaGreatAgain https://t.co/6IVPt5SXui,30
7:00:00,@swcinc96_,RT @realDonaldTrump: Thank you Arizona- I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/fTzaIvTX9b,4806
7:00:00,@BabyGirl_4Trump,#MakeAmericaGreatAgain #AlwaysTrump #TeamTrump #PAprimary #CAprimary #AZprimary #WIprimary #NEprimary #UTPrimary https://t.co/mK4IbVkk61,0
7:00:00,@mzboo61,RT @LindaSuhler: Caucus For Trump #Utah! Help #MakeAmericaGreatAgain! ✔️ VOTE #Trump2016 #UTCaucus #UtahForTrump #UtahCaucus https://t.co/…,123
